Territorio_Code,Indicatore_Code,TipoVolontariato_Code,Anno,Valore,AmpiezzaFamiglia_Code,RisorseEconomiche_Code,Sesso_Code,AnniAttivita_Code,TipoAttivita_Code,TitoloStudio_Code,CondizioneLavorativa_Code,Eta_Code
IT,PGE15_UAAV,DIRVOL,2013,3016.0,,,,,,,,
IT,PGE15_UAAV,DIRVOL,2023,2526.0,,,,,,,,
IT,PGE15_UAAV,ORGVOL,2013,4123.0,,,,,,,,
IT,PGE15_UAAV,ORGVOL,2023,3175.0,,,,,,,,
IT,PGE15_UAPV,DIRVOL,2013,5.8,,,,,,,,
IT,PGE15_UAPV,DIRVOL,2023,4.9,,,,,,,,
IT,PGE15_UAPV,ORGVOL,2013,7.9,,,,,,,,
IT,PGE15_UAPV,ORGVOL,2023,6.2,,,,,,,,
IT,PGE15_UAPV,TOTAL,2013,12.7,,,,,,,,
IT,PGE15_UAPV,TOTAL,2023,9.1,,,,,,,,
IT,HUA_15,DIRVOL,2013,48236.0,,,,,,,,
IT,HUA_15,DIRVOL,2023,27692.0,,,,,,,,
IT,HUA_15,ORGVOL,2013,77053.0,,,,,,,,
IT,HUA_15,ORGVOL,2023,56585.0,,,,,,,,
IT,HUA_15,TOTAL,2013,125289.0,,,,,,,,
IT,HUA_15,TOTAL,2023,84276.0,,,,,,,,
IT,HAUA_15,DIRVOL,2013,16.0,,,,,,,,
IT,HAUA_15,DIRVOL,2023,11.0,,,,,,,,
IT,HAUA_15,ORGVOL,2013,18.7,,,,,,,,
IT,HAUA_15,ORGVOL,2023,17.8,,,,,,,,
IT,HAUA_15,TOTAL,2013,19.0,,,,,,,,
IT,HAUA_15,TOTAL,2023,18.0,,,,,,,,
ITC,PGE15_UAAV,DIRVOL,2013,779.0,,,,,,,,
ITC,PGE15_UAAV,DIRVOL,2023,815.0,,,,,,,,
ITC,PGE15_UAAV,ORGVOL,2013,1304.0,,,,,,,,
ITC,PGE15_UAAV,ORGVOL,2023,1045.0,,,,,,,,
ITC,PGE15_UAPV,DIRVOL,2013,5.6,,,,,,,,
ITC,PGE15_UAPV,DIRVOL,2023,5.9,,,,,,,,
ITC,PGE15_UAPV,ORGVOL,2013,9.4,,,,,,,,
ITC,PGE15_UAPV,ORGVOL,2023,7.6,,,,,,,,
ITC,PGE15_UAPV,TOTAL,2013,14.0,,,,,,,,
ITC,PGE15_UAPV,TOTAL,2023,10.9,,,,,,,,
ITC,HUA_15,DIRVOL,2013,13883.0,,,,,,,,
ITC,HUA_15,DIRVOL,2023,8389.0,,,,,,,,
ITC,HUA_15,ORGVOL,2013,27686.0,,,,,,,,
ITC,HUA_15,ORGVOL,2023,22360.0,,,,,,,,
ITC,HUA_15,TOTAL,2013,41569.0,,,,,,,,
ITC,HUA_15,TOTAL,2023,30748.0,,,,,,,,
ITC,HAUA_15,DIRVOL,2013,17.8,,,,,,,,
ITC,HAUA_15,DIRVOL,2023,10.3,,,,,,,,
ITC,HAUA_15,ORGVOL,2013,21.2,,,,,,,,
ITC,HAUA_15,ORGVOL,2023,21.4,,,,,,,,
ITC,HAUA_15,TOTAL,2013,21.3,,,,,,,,
ITC,HAUA_15,TOTAL,2023,20.3,,,,,,,,
ITC1,PGE15_UAAV,DIRVOL,2013,180.0,,,,,,,,
ITC1,PGE15_UAAV,DIRVOL,2023,216.0,,,,,,,,
ITC1,PGE15_UAAV,ORGVOL,2013,335.0,,,,,,,,
ITC1,PGE15_UAAV,ORGVOL,2023,235.0,,,,,,,,
ITC1,PGE15_UAPV,DIRVOL,2013,4.7,,,,,,,,
ITC1,PGE15_UAPV,DIRVOL,2023,5.8,,,,,,,,
ITC1,PGE15_UAPV,ORGVOL,2013,8.7,,,,,,,,
ITC1,PGE15_UAPV,ORGVOL,2023,6.3,,,,,,,,
ITC1,PGE15_UAPV,TOTAL,2013,12.2,,,,,,,,
ITC1,PGE15_UAPV,TOTAL,2023,10.8,,,,,,,,
ITC1,HUA_15,DIRVOL,2013,3377.0,,,,,,,,
ITC1,HUA_15,DIRVOL,2023,2492.0,,,,,,,,
ITC1,HUA_15,ORGVOL,2013,8384.0,,,,,,,,
ITC1,HUA_15,ORGVOL,2023,4012.0,,,,,,,,
ITC1,HUA_15,TOTAL,2013,11761.0,,,,,,,,
ITC1,HUA_15,TOTAL,2023,6504.0,,,,,,,,
ITC1,HAUA_15,DIRVOL,2013,18.8,,,,,,,,
ITC1,HAUA_15,DIRVOL,2023,11.6,,,,,,,,
ITC1,HAUA_15,ORGVOL,2013,25.1,,,,,,,,
ITC1,HAUA_15,ORGVOL,2023,17.1,,,,,,,,
ITC1,HAUA_15,TOTAL,2013,24.9,,,,,,,,
ITC1,HAUA_15,TOTAL,2023,16.2,,,,,,,,
ITC2,PGE15_UAAV,DIRVOL,2013,6.0,,,,,,,,
ITC2,PGE15_UAAV,DIRVOL,2023,4.0,,,,,,,,
ITC2,PGE15_UAAV,ORGVOL,2013,10.0,,,,,,,,
